Values,Timestamp,1000 MA,5000 MA
96,26-06-2024 10:32,#N/A,#N/A
96,26-06-2024 10:33,#N/A,#N/A
96,26-06-2024 10:33,#N/A,#N/A
95,26-06-2024 10:33,#N/A,#N/A
95,26-06-2024 10:33,#N/A,#N/A
95,26-06-2024 10:33,#N/A,#N/A
95,26-06-2024 10:34,#N/A,#N/A
95,26-06-2024 10:34,#N/A,#N/A
95,26-06-2024 10:34,#N/A,#N/A
95,26-06-2024 10:35,#N/A,#N/A
95,26-06-2024 10:35,#N/A,#N/A
95,26-06-2024 10:35,#N/A,#N/A
95,26-06-2024 10:35,#N/A,#N/A
95,26-06-2024 10:36,#N/A,#N/A
95,26-06-2024 10:36,#N/A,#N/A
95,26-06-2024 10:36,#N/A,#N/A
95,26-06-2024 10:36,#N/A,#N/A
95,26-06-2024 10:36,#N/A,#N/A
95,26-06-2024 10:37,#N/A,#N/A
95,26-06-2024 10:37,#N/A,#N/A
95,26-06-2024 10:37,#N/A,#N/A
95,26-06-2024 10:38,#N/A,#N/A
95,26-06-2024 10:38,#N/A,#N/A
95,26-06-2024 10:38,#N/A,#N/A
95,26-06-2024 10:39,#N/A,#N/A
95,26-06-2024 10:39,#N/A,#N/A
95,26-06-2024 10:39,#N/A,#N/A
95,26-06-2024 10:39,#N/A,#N/A
95,26-06-2024 10:40,#N/A,#N/A
95,26-06-2024 10:40,#N/A,#N/A
95,26-06-2024 10:40,#N/A,#N/A
95,26-06-2024 10:40,#N/A,#N/A
95,26-06-2024 10:41,#N/A,#N/A
95,26-06-2024 10:41,#N/A,#N/A
94,26-06-2024 10:41,#N/A,#N/A
94,26-06-2024 10:41,#N/A,#N/A
94,26-06-2024 10:41,#N/A,#N/A
94,26-06-2024 10:42,#N/A,#N/A
94,26-06-2024 10:42,#N/A,#N/A
94,26-06-2024 10:42,#N/A,#N/A
94,26-06-2024 10:43,#N/A,#N/A
94,26-06-2024 10:43,#N/A,#N/A
94,26-06-2024 10:43,#N/A,#N/A
94,26-06-2024 10:43,#N/A,#N/A
94,26-06-2024 10:44,#N/A,#N/A
94,26-06-2024 10:44,#N/A,#N/A
94,26-06-2024 10:44,#N/A,#N/A
94,26-06-2024 10:44,#N/A,#N/A
94,26-06-2024 10:44,#N/A,#N/A
94,26-06-2024 10:45,#N/A,#N/A
94,26-06-2024 10:45,#N/A,#N/A
94,26-06-2024 10:45,#N/A,#N/A
94,26-06-2024 10:46,#N/A,#N/A
94,26-06-2024 10:46,#N/A,#N/A
94,26-06-2024 10:46,#N/A,#N/A
94,26-06-2024 10:46,#N/A,#N/A
94,26-06-2024 10:47,#N/A,#N/A
94,26-06-2024 10:47,#N/A,#N/A
94,26-06-2024 10:47,#N/A,#N/A
94,26-06-2024 10:47,#N/A,#N/A
94,26-06-2024 10:47,#N/A,#N/A
94,26-06-2024 10:48,#N/A,#N/A
94,26-06-2024 10:48,#N/A,#N/A
94,26-06-2024 10:48,#N/A,#N/A
94,26-06-2024 10:49,#N/A,#N/A
94,26-06-2024 10:49,#N/A,#N/A
94,26-06-2024 10:49,#N/A,#N/A
94,26-06-2024 10:49,#N/A,#N/A
94,26-06-2024 10:50,#N/A,#N/A
94,26-06-2024 10:50,#N/A,#N/A
94,26-06-2024 10:50,#N/A,#N/A
94,26-06-2024 10:50,#N/A,#N/A
94,26-06-2024 10:50,#N/A,#N/A
94,26-06-2024 10:51,#N/A,#N/A
94,26-06-2024 10:51,#N/A,#N/A
94,26-06-2024 10:51,#N/A,#N/A
94,26-06-2024 10:52,#N/A,#N/A
94,26-06-2024 10:52,#N/A,#N/A
94,26-06-2024 10:52,#N/A,#N/A
94,26-06-2024 10:52,#N/A,#N/A
94,26-06-2024 10:53,#N/A,#N/A
94,26-06-2024 10:53,#N/A,#N/A
94,26-06-2024 10:53,#N/A,#N/A
94,26-06-2024 10:53,#N/A,#N/A
93,26-06-2024 10:54,#N/A,#N/A
93,26-06-2024 10:54,#N/A,#N/A
93,26-06-2024 10:54,#N/A,#N/A
93,26-06-2024 10:54,#N/A,#N/A
93,26-06-2024 10:55,#N/A,#N/A
93,26-06-2024 10:55,#N/A,#N/A
93,26-06-2024 10:55,#N/A,#N/A
93,26-06-2024 10:55,#N/A,#N/A
93,26-06-2024 10:56,#N/A,#N/A
93,26-06-2024 10:56,#N/A,#N/A
93,26-06-2024 10:56,#N/A,#N/A
93,26-06-2024 10:56,#N/A,#N/A
93,26-06-2024 10:57,#N/A,#N/A
93,26-06-2024 10:57,#N/A,#N/A
93,26-06-2024 10:57,#N/A,#N/A
93,26-06-2024 10:57,#N/A,#N/A
93,26-06-2024 10:58,#N/A,#N/A
93,26-06-2024 10:58,#N/A,#N/A
92,26-06-2024 10:58,#N/A,#N/A
93,26-06-2024 10:58,#N/A,#N/A
93,26-06-2024 10:59,#N/A,#N/A
92,26-06-2024 10:59,#N/A,#N/A
92,26-06-2024 10:59,#N/A,#N/A
92,26-06-2024 11:00,#N/A,#N/A
92,26-06-2024 11:00,#N/A,#N/A
92,26-06-2024 11:00,#N/A,#N/A
92,26-06-2024 11:00,#N/A,#N/A
92,26-06-2024 11:01,#N/A,#N/A
92,26-06-2024 11:01,#N/A,#N/A
92,26-06-2024 11:01,#N/A,#N/A
92,26-06-2024 11:01,#N/A,#N/A
92,26-06-2024 11:01,#N/A,#N/A
92,26-06-2024 11:02,#N/A,#N/A
92,26-06-2024 11:02,#N/A,#N/A
92,26-06-2024 11:02,#N/A,#N/A
92,26-06-2024 11:03,#N/A,#N/A
92,26-06-2024 11:03,#N/A,#N/A
92,26-06-2024 11:03,#N/A,#N/A
92,26-06-2024 11:03,#N/A,#N/A
91,26-06-2024 11:04,#N/A,#N/A
91,26-06-2024 11:04,#N/A,#N/A
91,26-06-2024 11:04,#N/A,#N/A
91,26-06-2024 11:04,#N/A,#N/A
91,26-06-2024 11:04,#N/A,#N/A
91,26-06-2024 11:05,#N/A,#N/A
91,26-06-2024 11:05,#N/A,#N/A
91,26-06-2024 11:05,#N/A,#N/A
91,26-06-2024 11:06,#N/A,#N/A
91,26-06-2024 11:06,#N/A,#N/A
91,26-06-2024 11:06,#N/A,#N/A
91,26-06-2024 11:06,#N/A,#N/A
91,26-06-2024 11:07,#N/A,#N/A
91,26-06-2024 11:07,#N/A,#N/A
91,26-06-2024 11:07,#N/A,#N/A
91,26-06-2024 11:07,#N/A,#N/A
91,26-06-2024 11:08,#N/A,#N/A
91,26-06-2024 11:08,#N/A,#N/A
90,26-06-2024 11:08,#N/A,#N/A
90,26-06-2024 11:08,#N/A,#N/A
90,26-06-2024 11:09,#N/A,#N/A
90,26-06-2024 11:09,#N/A,#N/A
90,26-06-2024 11:09,#N/A,#N/A
90,26-06-2024 11:09,#N/A,#N/A
90,26-06-2024 11:10,#N/A,#N/A
90,26-06-2024 11:10,#N/A,#N/A
90,26-06-2024 11:10,#N/A,#N/A
90,26-06-2024 11:10,#N/A,#N/A
90,26-06-2024 11:11,#N/A,#N/A
90,26-06-2024 11:11,#N/A,#N/A
90,26-06-2024 11:11,#N/A,#N/A
90,26-06-2024 11:12,#N/A,#N/A
90,26-06-2024 11:12,#N/A,#N/A
90,26-06-2024 11:12,#N/A,#N/A
90,26-06-2024 11:12,#N/A,#N/A
90,26-06-2024 11:12,#N/A,#N/A
90,26-06-2024 11:13,#N/A,#N/A
90,26-06-2024 11:13,#N/A,#N/A
90,26-06-2024 11:13,#N/A,#N/A
90,26-06-2024 11:14,#N/A,#N/A
90,26-06-2024 11:14,#N/A,#N/A
90,26-06-2024 11:14,#N/A,#N/A
90,26-06-2024 11:14,#N/A,#N/A
90,26-06-2024 11:15,#N/A,#N/A
90,26-06-2024 11:15,#N/A,#N/A
90,26-06-2024 11:15,#N/A,#N/A
90,26-06-2024 11:15,#N/A,#N/A
90,26-06-2024 11:16,#N/A,#N/A
90,26-06-2024 11:16,#N/A,#N/A
90,26-06-2024 11:16,#N/A,#N/A
90,26-06-2024 11:16,#N/A,#N/A
90,26-06-2024 11:17,#N/A,#N/A
90,26-06-2024 11:17,#N/A,#N/A
90,26-06-2024 11:17,#N/A,#N/A
90,26-06-2024 11:17,#N/A,#N/A
90,26-06-2024 11:18,#N/A,#N/A
90,26-06-2024 11:18,#N/A,#N/A
90,26-06-2024 11:18,#N/A,#N/A
90,26-06-2024 11:18,#N/A,#N/A
90,26-06-2024 11:19,#N/A,#N/A
90,26-06-2024 11:19,#N/A,#N/A
90,26-06-2024 11:19,#N/A,#N/A
90,26-06-2024 11:19,#N/A,#N/A
90,26-06-2024 11:20,#N/A,#N/A
90,26-06-2024 11:20,#N/A,#N/A
90,26-06-2024 11:20,#N/A,#N/A
90,26-06-2024 11:20,#N/A,#N/A
90,26-06-2024 11:21,#N/A,#N/A
90,26-06-2024 11:21,#N/A,#N/A
90,26-06-2024 11:21,#N/A,#N/A
90,26-06-2024 11:21,#N/A,#N/A
90,26-06-2024 11:22,#N/A,#N/A
90,26-06-2024 11:22,#N/A,#N/A
90,26-06-2024 11:22,#N/A,#N/A
90,26-06-2024 11:22,#N/A,#N/A
90,26-06-2024 11:23,#N/A,#N/A
90,26-06-2024 11:23,#N/A,#N/A
89,26-06-2024 11:23,#N/A,#N/A
89,26-06-2024 11:23,#N/A,#N/A
89,26-06-2024 11:24,#N/A,#N/A
89,26-06-2024 11:24,#N/A,#N/A
89,26-06-2024 11:24,#N/A,#N/A
89,26-06-2024 11:25,#N/A,#N/A
89,26-06-2024 11:25,#N/A,#N/A
89,26-06-2024 11:25,#N/A,#N/A
89,26-06-2024 11:25,#N/A,#N/A
89,26-06-2024 11:26,#N/A,#N/A
89,26-06-2024 11:26,#N/A,#N/A
89,26-06-2024 11:26,#N/A,#N/A
89,26-06-2024 11:26,#N/A,#N/A
89,26-06-2024 11:27,#N/A,#N/A
89,26-06-2024 11:27,#N/A,#N/A
89,26-06-2024 11:27,#N/A,#N/A
89,26-06-2024 11:28,#N/A,#N/A
89,26-06-2024 11:28,#N/A,#N/A
89,26-06-2024 11:28,#N/A,#N/A
89,26-06-2024 11:28,#N/A,#N/A
89,26-06-2024 11:29,#N/A,#N/A
89,26-06-2024 11:29,#N/A,#N/A
